label,text
ham,Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday."
ham,Yes i have. So that's why u texted. Pshew...missing you so much
ham,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.
ham,They will pick up and drop in car.so no problem..
ham,Lil fever:) now fine:)
spam,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994"
ham,Please don't text me anymore. I have nothing else to say.
ham,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.
ham,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
ham,"Yes, i'm small kid.. And boost is the secret of my energy.."
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
ham,I've sent Ì_ my part..
ham,Its sarcasm.. .nt scarcasim
spam,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
ham,Nope watching tv at home... Not going out. V bored...
ham,Can Ì_ send me a copy of da report?
ham,That's my honeymoon outfit. :)
ham,"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?"
ham,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
ham,Ok. Very good. Its all about making that money.
ham,Ok...
ham,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*"
ham,Yeah right! I'll bring my tape measure fri!
ham,"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx"
ham,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up
ham,"Sounds good, keep me posted"
ham,How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.
ham,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!
ham,Remind me how to get there and I shall do so
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
ham,* Am on a train back from northampton so i'm afraid not!
ham,Er yep sure. Props?
ham,am up to my eyes in philosophy
ham,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can"
ham,Mum ask Ì_ to buy food home...
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
ham,My drive can only be read. I need to write
ham,Pls dont restrict her from eating anythin she likes for the next two days.
ham,Tell them u have a headache and just want to use 1 hour of sick time.
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
ham,What time is ur flight tmr?
ham,Waiting in e car 4 my mum lor. U leh? Reach home already?
ham,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
ham,No no. I will check all rooms befor activities
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
ham,Will you be here for food
ham,ILL B DOWN SOON
ham,You always make things bigger than they are
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
ham,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.
ham,"What part of \don't initiate\"" don't you understand"""
ham,I'm aight. Wat's happening on your side.
ham,Yup but not studying surfing lor. I'm in e lazy mode today.
ham,I'm always looking for an excuse to be in the city.
ham,Jus came back fr lunch wif my sis only. U leh?
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
spam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50
ham,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day."
spam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16
ham,I ask if u meeting da ge tmr nite...
ham,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
ham,\SHIT BABE.. THASA BIT MESSED UP.YEH
ham,I knew it... U slept v late yest? Wake up so late...
ham,At WHAT TIME should i come tomorrow
ham,So that means you still think of teju
ham,Nice.nice.how is it working?
ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
ham,Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+
ham,Lol they were mad at first but then they woke up and gave in.
ham,K..k:)where are you?how did you performed?
ham,Holy living christ what is taking you so long
ham,Sary just need Tim in the bollox &it hurt him a lot so he tol me!
ham,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just å£5 by replying GET BBDELUXE and take the challenge
ham,To day class is there are no class.
spam,As a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
ham,Are you willing to go for aptitude class.
ham,Dude how do you like the buff wind.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone
ham,PS U no ur a grown up now right?
spam,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
ham,10 min later k...
spam,PRIVATE! Your 2003 Account Statement for 078
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
spam,U are subscribed to the best Mobile Content Service in the UK for å£3 per ten days until you send STOP to 83435. Helpline 08706091795.
ham,No let me do the math. Your not good at it.
ham,Just buy a pizza. Meat lovers or supreme. U get to pick.
ham,"Sorry, I'll call later"
ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...
ham,yay! finally lol. i missed our cinema trip last week :-(
ham,Nobody names their penis a girls name this story doesn't add up at all
